g,n_crime,n_home,frac_exit_crime,frac_exit_home,global_intercrime_mean,global_intercrime_median,global_intercrime_cv,percell_intercrime_mean,percell_intercrime_median,percell_intercrime_cv,n_cell_gaps,min_crimes_percell,residence_crime_mean,residence_crime_median,residence_home_mean,residence_home_median
0.0,51507,8539,0.8577923591912867,0.14220764080871331,0.03542833288027649,0.020000000000038654,1.0183311247505287,33.204748829605414,5.449999999999996,1.7521733467878846,26914,1,2.147188731628711,1.599999999999966,1.9797903735800446,1.3799999999999957
1.0,32314,27179,0.5431563377204041,0.45684366227959594,0.05647095236621375,0.03999999999999915,1.0077704449330696,76.14743459009796,42.19999999999999,1.1096637942495793,7453,1,6.757837469827319,4.665000000000006,6.669973141028,4.569999999999993
3.0,20743,38471,0.3503056709561928,0.6496943290438072,0.08793953129520687,0.060000000000002274,0.9977883880171908,112.50646505925621,93.83000000000004,0.7512038718347731,2447,1,9.486518343537579,6.469999999999999,9.495135556653064,6.57
