day,L,seed,chi,delta,g,M_tot,eta_M,omega_M,n_criminals,crimes_that_day,home_exits_that_day,inflow_that_day,balance_error,frac_exit_crime,frac_exit_home,mean_p_crime,mean_p_home,B_mean,B_std,H,f_hot_2,f_hot_3,B_q90_over_mean,B_q95_over_mean,B_q99_over_mean,Atilde_mean,Atilde_std,H_At,f_hotA_2,f_hotA_3,At_q90_over_mean,At_q95_over_mean,At_q99_over_mean,Gini_At,AtM_corr,M_mass_on_hotA10,deterrence_hotA,deterrence_mean,deterrence_hot,M_cv,MB_corr,M_mass_on_hot10,crime_entropy,Gini_B,Gini_M,stat_window,T_max,M_bar,M_final_sum,code_hash,wall_s
275.5,128,0,0.0,0.0666666667,0.0,500.0,0.1,0.0666666667,66.45555555555555,28.31111111111111,4.4222222222222225,32.855555555555554,0.0,0.8641578657675046,0.13584213423249528,0.004261162240107942,0.0006664444941520964,0.14545480394023771,0.23736128538897058,1.630794555460707,0.123046875,0.06630147298177083,2.3118314847782804,3.5186986297368676,7.103335206310814,0.17878813724023768,0.23736128538897058,1.326570692517103,0.10554267035590278,0.051567925347222224,2.0672401817094275,3.049068628949097,5.9650285100970555,0.4660735689149043,0.892494488647298,0.1564952489007485,1.0,1.0,1.0,0.2831140950085029,0.892494488647298,0.1564952489007485,2.808538523517479,0.5729386214176493,0.1286947654437451,185-365,365,0.030517578125,500.0000000000854,cf03fe577c,18.214
275.5,128,1,0.0,0.0666666667,0.0,500.0,0.1,0.0666666667,67.2388888888889,27.516666666666666,4.738888888888889,32.233333333333334,0.0,0.8501254459286068,0.14987455407139316,0.004081606181099691,0.0006664444941520964,0.14181472349658458,0.2282263092911873,1.6080836825185048,0.12101982964409722,0.0648532443576389,2.2863167858947895,3.4688067599877916,6.984522644062113,0.17514805679658457,0.2282263092911873,1.301948089188199,0.10328436957465278,0.05003017849392361,2.0415376701636694,2.9990459552972513,5.845626520269275,0.45717550471237317,0.8866920455178413,0.15368324574246092,1.0,1.0,1.0,0.2729844216045475,0.8866920455178413,0.15368324574246092,2.5222317573906405,0.5646699999929954,0.1242272846874617,185-365,365,0.030517578125,500.0000000000878,cf03fe577c,19.435
275.5,128,2,0.0,0.0666666667,0.0,500.0,0.1,0.0666666667,68.46666666666667,28.47222222222222,4.466666666666667,32.983333333333334,0.0,0.8645942917166539,0.13540570828334594,0.004245261321910429,0.0006664444941520964,0.1452773830980516,0.2410606624063193,1.659127837180542,0.1241912841796875,0.06801995171440972,2.340150783028357,3.5716530001328755,7.247678732770944,0.17861071639805154,0.2410606624063193,1.3492701182278026,0.10706312391493056,0.053080919053819446,2.0898664756672924,3.0913806887031643,6.0806759141647415,0.47330754088642774,0.8896318064589152,0.15796838284246137,1.0,1.0,1.0,0.28963892887894926,0.8896318064589152,0.15796838284246137,2.618314902161755,0.58200159262722,0.13325476002043232,185-365,365,0.030517578125,500.0000000000852,cf03fe577c,18.825
275.5,128,3,0.0,0.0666666667,0.0,500.0,0.1,0.0666666667,68.76666666666667,27.75,4.377777777777778,32.044444444444444,0.0,0.861163336396533,0.13883666360346705,0.004068406286427804,0.0006664444941520964,0.14240396484343265,0.2317265654113631,1.625843212678685,0.12288987901475694,0.0657470703125,2.3101802933234135,3.498798677057364,7.0189910562653814,0.17573729814343267,0.2317265654113631,1.3173843974502328,0.10492011176215278,0.05072733561197917,2.061679648145149,3.024988461580624,5.877562239090678,0.4630604365795215,0.8843324090354704,0.15593069634326118,1.0,1.0,1.0,0.28345557939682803,0.8843324090354704,0.15593069634326118,2.489275870497153,0.5714753911102837,0.1307482024248758,185-365,365,0.030517578125,500.0000000000857,cf03fe577c,18.711
275.5,128,4,0.0,0.0666666667,0.0,500.0,0.1,0.0666666667,66.67222222222222,27.738888888888887,4.233333333333333,32.05,0.0,0.8682188691627127,0.13178113083728724,0.0041005367361583445,0.0006664444941520964,0.14284854508807135,0.2317402463464982,1.622093774050471,0.12427232530381944,0.0661224365234375,2.3242325889747795,3.5004266431579976,7.044969759762347,0.17618187838807134,0.2317402463464982,1.3147573354059885,0.10607435438368056,0.05090365939670139,2.0733360408578574,3.026843108531399,5.900065479139895,0.4658907370380696,0.8839655693714852,0.15477835659617337,1.0,1.0,1.0,0.28065333251006397,0.8839655693714852,0.15477835659617337,2.644194322824853,0.5747836211911578,0.13014174876598444,185-365,365,0.030517578125,500.0000000000874,cf03fe577c,19.086
275.5,128,5,0.0,0.0666666667,0.0,500.0,0.1,0.0666666667,67.9888888888889,28.08888888888889,4.5055555555555555,32.6,0.0,0.8614802736414455,0.1385197263585545,0.004104789790050936,0.0006664444941520964,0.14383932332545557,0.22973945647987482,1.5968353004945135,0.12007344563802083,0.06322970920138889,2.2633128121064736,3.4104763385814625,6.889013935017067,0.17717265662545553,0.22973945647987482,1.2962782907296067,0.10218336317274306,0.0485809326171875,2.025538053787863,2.956812218555481,5.780709745702274,0.4527341844736472,0.8852211875270213,0.15282772920023396,1.0,1.0,1.0,0.27112939954175475,0.8852211875270214,0.15282772920023396,2.7344015315262413,0.5577125657734454,0.1231875495758802,185-365,365,0.030517578125,500.000000000086,cf03fe577c,18.812
275.5,128,6,0.0,0.0666666667,0.0,500.0,0.1,0.0666666667,66.22222222222223,26.822222222222223,4.516666666666667,31.455555555555556,0.0,0.8546074906534403,0.14539250934655967,0.004076391041098361,0.0006664444941520964,0.13841649647897944,0.22484371381559112,1.625320636047963,0.12041388617621528,0.06472100151909722,2.27842898993826,3.4795140036594825,7.064765998029013,0.17174982977897946,0.22484371381559112,1.3090054024684683,0.1023834228515625,0.049819268120659725,2.0298495326010078,2.9973941456899125,5.884307268271204,0.45533261409155856,0.8839478365087953,0.15234558454224026,1.0,1.0,1.0,0.2668092065787545,0.8839478365087953,0.15234558454224026,2.4790736970809224,0.5652852968103641,0.12195008925179691,185-365,365,0.030517578125,500.000000000091,cf03fe577c,19.13
275.5,128,7,0.0,0.0666666667,0.0,500.0,0.1,0.0666666667,67.16666666666667,28.32777777777778,4.338888888888889,32.727777777777774,0.0,0.8635421530076106,0.1364578469923893,0.004238890376114057,0.0006664444941520964,0.14553809668695977,0.2380279122479554,1.635243726888498,0.12551371256510416,0.06771036783854166,2.3463222651955573,3.560096597629602,7.1116929420639305,0.17887142998695976,0.2380279122479554,1.3303070698178079,0.1077972412109375,0.05269198947482639,2.0952546343758436,3.082659604742893,5.972368966487741,0.4707724011738501,0.8905706684510913,0.1572333288499055,1.0,1.0,1.0,0.28569094743767065,0.8905706684510911,0.1572333288499055,2.8070048274619035,0.5786656301682184,0.1314420795437219,185-365,365,0.030517578125,500.0000000000872,cf03fe577c,19.025
275.5,128,8,0.0,0.0666666667,0.0,500.0,0.1,0.0666666667,67.96111111111111,28.127777777777776,4.444444444444445,32.53333333333333,0.0,0.8620389885843832,0.13796101141561665,0.004230095329775975,0.0006664444941520964,0.1453018352278553,0.23777827971066923,1.6362854703544132,0.12324388292100695,0.06610582139756944,2.3134760587708803,3.5096230936136066,7.137357869481368,0.1786351685278553,0.23777827971066923,1.3306321964325265,0.10560506184895833,0.05130988226996528,2.0682202278461137,3.0410973544625324,5.991332735939693,0.4663046594683144,0.898057342020382,0.15669739224504492,1.0,1.0,1.0,0.28431616721543684,0.898057342020382,0.15669739224504492,2.7250769601344813,0.5733841887802303,0.12716239925755263,185-365,365,0.030517578125,500.00000000008856,cf03fe577c,18.397
275.5,128,9,0.0,0.0666666667,0.0,500.0,0.1,0.0666666667,67.28333333333333,29.083333333333332,4.294444444444444,33.21111111111111,0.0,0.871942519231448,0.12805748076855195,0.004333607108201987,0.0006664444941520964,0.14753613029574866,0.24179401108260143,1.6393259894008931,0.12405192057291667,0.06754319932725694,2.33350990894153,3.5527344833985115,7.106564889023909,0.18086946359574868,0.24179401108260143,1.3367066572624802,0.1070892333984375,0.0527435302734375,2.0875704058301365,3.081783626023538,5.979195954125157,0.47112132722692573,0.8891430433643491,0.15675387453142614,1.0,1.0,1.0,0.2865584929005863,0.8891430433643491,0.15675387453142614,2.631892664757355,0.5777221371497561,0.1320047532143932,185-365,365,0.030517578125,500.0000000000839,cf03fe577c,20.146
