timestamp,code_hash,mech,L,seed,g,h,delta,chi,kappa,M_tot,eta_M,omega_M,T_max,status,wall_s,out
2026-06-15T11:20:26,43d8a44465,arrest,64,1,0.0,0.05,0.0,0.0,1.6384,125.0,0.1,0.06666666666666667,120,done,2.52,runs/summary.csv
2026-06-15T11:20:29,43d8a44465,arrest,64,0,0.0,0.1,0.0,0.0,3.2768,125.0,0.1,0.06666666666666667,120,done,2.48,runs/summary.csv
2026-06-15T11:20:31,43d8a44465,arrest,64,1,0.0,0.1,0.0,0.0,3.2768,125.0,0.1,0.06666666666666667,120,done,2.44,runs/summary.csv
2026-06-15T11:20:34,43d8a44465,arrest,64,0,0.0,0.2,0.0,0.0,6.5536,125.0,0.1,0.06666666666666667,120,done,2.44,runs/summary.csv
2026-06-15T11:20:36,43d8a44465,arrest,64,1,0.0,0.2,0.0,0.0,6.5536,125.0,0.1,0.06666666666666667,120,done,2.44,runs/summary.csv
2026-06-15T11:20:38,43d8a44465,arrest,64,0,0.0,0.3,0.0,0.0,9.8304,125.0,0.1,0.06666666666666667,120,done,2.47,runs/summary.csv
2026-06-15T11:20:41,43d8a44465,arrest,64,1,0.0,0.3,0.0,0.0,9.8304,125.0,0.1,0.06666666666666667,120,done,2.46,runs/summary.csv
2026-06-15T11:20:43,43d8a44465,arrest,64,0,0.0,0.8,0.0,0.0,26.2144,125.0,0.1,0.06666666666666667,120,done,2.46,runs/summary.csv
2026-06-15T11:20:46,43d8a44465,arrest,64,1,0.0,0.8,0.0,0.0,26.2144,125.0,0.1,0.06666666666666667,120,done,2.46,runs/summary.csv
2026-06-15T11:20:48,43d8a44465,arrest,64,0,0.0,1.2,0.0,0.0,39.3216,125.0,0.1,0.06666666666666667,120,done,2.44,runs/summary.csv
2026-06-15T11:20:51,43d8a44465,arrest,64,1,0.0,1.2,0.0,0.0,39.3216,125.0,0.1,0.06666666666666667,120,done,2.46,runs/summary.csv
2026-06-15T11:20:53,43d8a44465,arrest,64,0,0.0,2.0,0.0,0.0,65.536,125.0,0.1,0.06666666666666667,120,done,2.39,runs/summary.csv
2026-06-15T11:20:56,43d8a44465,arrest,64,1,0.0,2.0,0.0,0.0,65.536,125.0,0.1,0.06666666666666667,120,done,2.46,runs/summary.csv
2026-06-15T11:20:58,43d8a44465,home,64,0,0.0,0.0,0.05,0.0,0.0,125.0,0.1,0.06666666666666667,120,done,2.46,runs/summary.csv
2026-06-15T11:21:01,43d8a44465,home,64,1,0.0,0.0,0.05,0.0,0.0,125.0,0.1,0.06666666666666667,120,done,2.5,runs/summary.csv
2026-06-15T11:21:03,43d8a44465,home,64,0,0.0,0.0,0.1,0.0,0.0,125.0,0.1,0.06666666666666667,120,done,2.51,runs/summary.csv
2026-06-15T11:21:11,43d8a44465,home,64,1,0.0,0.0,0.1,0.0,0.0,125.0,0.1,0.06666666666666667,120,done,2.41,runs/summary.csv
2026-06-15T11:21:13,43d8a44465,home,64,0,0.0,0.0,0.2,0.0,0.0,125.0,0.1,0.06666666666666667,120,done,2.5,runs/summary.csv
2026-06-15T11:21:16,43d8a44465,home,64,1,0.0,0.0,0.2,0.0,0.0,125.0,0.1,0.06666666666666667,120,done,2.49,runs/summary.csv
2026-06-15T11:21:18,43d8a44465,home,64,0,0.0,0.0,0.3,0.0,0.0,125.0,0.1,0.06666666666666667,120,done,2.46,runs/summary.csv
2026-06-15T11:21:21,43d8a44465,home,64,1,0.0,0.0,0.3,0.0,0.0,125.0,0.1,0.06666666666666667,120,done,2.49,runs/summary.csv
2026-06-15T11:21:23,43d8a44465,home,64,0,0.0,0.0,0.5,0.0,0.0,125.0,0.1,0.06666666666666667,120,done,2.49,runs/summary.csv
2026-06-15T11:21:26,43d8a44465,home,64,1,0.0,0.0,0.5,0.0,0.0,125.0,0.1,0.06666666666666667,120,done,2.48,runs/summary.csv
2026-06-15T11:21:28,43d8a44465,home,64,0,0.0,0.0,0.8,0.0,0.0,125.0,0.1,0.06666666666666667,120,done,2.43,runs/summary.csv
2026-06-15T11:21:31,43d8a44465,home,64,1,0.0,0.0,0.8,0.0,0.0,125.0,0.1,0.06666666666666667,120,done,2.54,runs/summary.csv
2026-06-15T11:21:33,43d8a44465,home,64,0,0.0,0.0,1.2,0.0,0.0,125.0,0.1,0.06666666666666667,120,done,2.42,runs/summary.csv
