day,L,seed,chi,kappa,delta,g,h,M_tot,eta_M,omega_M,n_criminals,crimes_that_day,arrests_that_day,home_exits_that_day,inflow_that_day,balance_error,frac_removed_crime,frac_removed_arrest,frac_removed_home,mean_p_crime,mean_p_arrest,B_mean,B_std,H,f_hot_2,f_hot_3,Atilde_mean,deterrence_mean,deterrence_hot,M_cv,MB_corr,M_mass_on_hot10,crime_entropy,Gini_B,Gini_M,stat_window,mech,T_max,M_final_sum,wall_s
90.5,64,0,0.0,0.0,0.0,0.0,0.0,125.0,0.1,0.06666666666666667,19.083333333333332,8.3,0.0,0.0,8.216666666666667,0.0,1.0,0.0,0.0,0.00456159360715567,0.0,0.1638550237975318,0.2544335919865821,1.5471413565095742,0.1236572265625,0.06698404947916667,0.1971380550703565,1.0,1.0,0.08914985567553978,0.8944152055595433,0.11884287582786726,1.1280315422148786,0.5641148634326333,0.042292826720287335,60-120,base,120,125.00000000002498,2.1942498683929443
90.5,64,1,0.0,0.0,0.0,0.0,0.0,125.0,0.1,0.06666666666666667,17.25,8.866666666666667,0.0,0.0,8.866666666666667,0.0,1.0,0.0,0.0,0.005590621725406164,0.0,0.17860126378045044,0.2906130766198806,1.6242491157314902,0.12750651041666666,0.07118733723958333,0.21187133077874737,1.0,1.0,0.09463861147368155,0.9154459930437685,0.12024070043267009,1.0615944959484809,0.5852046007406815,0.044122127733048,60-120,base,120,125.0000000000245,2.204894781112671
90.5,64,0,16.384,0.0,0.0,0.5,0.0,125.0,0.1,0.06666666666666667,29.0,8.166666666666666,0.0,0.0,7.95,0.0,1.0,0.0,0.0,0.0029089215831219688,0.0,0.1634298360222712,0.255892355473371,1.5614202286206715,0.120703125,0.06417236328125,0.12717463046824576,0.6070501305489967,0.5578684576968066,0.0846616597813775,0.896103608472734,0.11725188410425141,1.4456782533196941,0.5530902881547336,0.03974077768613539,60-120,dissuasion,120,125.0000000000249,2.200422763824463
90.5,64,1,16.384,0.0,0.0,0.5,0.0,125.0,0.1,0.06666666666666667,30.15,8.483333333333333,0.0,0.0,8.6,0.0,1.0,0.0,0.0,0.002665120372097797,0.0,0.1701901451375246,0.257077897066624,1.5053663694547246,0.11734212239583333,0.059647623697916666,0.13073645690598848,0.6071716112839666,0.5530740286912995,0.09395575440390071,0.8794699941085984,0.11904136943335178,1.5006114414195995,0.5389019535130112,0.04500242729146426,60-120,dissuasion,120,125.00000000002444,2.2222647666931152
90.5,64,0,32.768,0.0,0.0,1.0,0.0,125.0,0.1,0.06666666666666667,57.266666666666666,8.533333333333333,0.0,0.0,8.533333333333333,0.0,1.0,0.0,0.0,0.0015285132049660346,0.0,0.1761352053227742,0.22167267615023276,1.2587173399337268,0.11431477864583334,0.04907633463541667,0.0934800159641948,0.3689696160685962,0.31938029319995365,0.08109980002627555,0.8733682917699099,0.11484156773229683,1.6644184652278642,0.4871712894011962,0.03968168956387827,60-120,dissuasion,120,125.00000000002437,2.2491343021392822
90.5,64,1,32.768,0.0,0.0,1.0,0.0,125.0,0.1,0.06666666666666667,53.45,8.483333333333333,0.0,0.0,8.3,0.0,1.0,0.0,0.0,0.001545604558081224,0.0,0.17773763273707835,0.23353933691427436,1.3130162947064359,0.12757161458333333,0.05860595703125,0.09279467418735463,0.3696267167004988,0.3083697497697544,0.10055070794178068,0.827970857809495,0.11839151542851044,2.166085197631818,0.5181495253258742,0.052524379790905934,60-120,dissuasion,120,125.00000000002478,2.2355127334594727
90.5,64,0,49.152,0.0,0.0,1.5,0.0,125.0,0.1,0.06666666666666667,93.76666666666667,7.966666666666667,0.0,0.0,8.083333333333334,0.0,1.0,0.0,0.0,0.0008559837883861249,0.0,0.1626385118987039,0.17990356831931067,1.1039520672139436,0.09195556640625,0.037613932291666666,0.06696146012189437,0.22419911618060884,0.18699821669577157,0.06944126618184562,0.851515255951432,0.11255655411675515,1.595800466185113,0.4166534232935606,0.03386741316862364,60-120,dissuasion,120,125.00000000002498,2.2835240364074707
90.5,64,1,49.152,0.0,0.0,1.5,0.0,125.0,0.1,0.06666666666666667,85.95,7.666666666666667,0.0,0.0,7.666666666666667,0.0,1.0,0.0,0.0,0.0008696067892528987,0.0,0.16091701509352632,0.17870573355459193,1.111076921522909,0.09971110026041667,0.03875732421875,0.06661010108747177,0.22422105322404726,0.18818192110860144,0.0688174035114506,0.8197912046072319,0.11204143494873134,0.6079370093997006,0.43042322128091043,0.0350618862191092,60-120,dissuasion,120,125.00000000002521,2.264864921569824
90.5,64,0,98.304,0.0,0.0,3.0,0.0,125.0,0.1,0.06666666666666667,202.03333333333333,7.983333333333333,0.0,0.0,8.516666666666667,0.0,1.0,0.0,0.0,0.0004161174943050228,0.0,0.16233152948164858,0.13749488616285666,0.8463441798864825,0.04788411458333333,0.015372721354166667,0.041000672922304866,0.050098323567624135,0.04208818690161942,0.04396483139854875,0.8279688239422515,0.10641237171326388,1.2348674050922936,0.2831902629506679,0.018084252510173465,60-120,dissuasion,120,125.00000000002545,2.4310927391052246
90.5,64,1,98.304,0.0,0.0,3.0,0.0,125.0,0.1,0.06666666666666667,205.75,9.0,0.0,0.0,8.566666666666666,0.0,1.0,0.0,0.0,0.0004191266542393338,0.0,0.16988351112640013,0.14969195200360305,0.8855129650647963,0.051680501302083334,0.016805013020833332,0.04130030162262908,0.05014851788326351,0.0413741493339475,0.04733246063926824,0.840436198685623,0.10707913442975098,1.2958754047521643,0.2969199484085895,0.019615997636220576,60-120,dissuasion,120,125.00000000002467,2.5721795558929443
