day,n_criminals,n_crimes_that_day_proxy,A_mean,A_std,hotspot_index_std_over_mean,fraction_A_above_2Abar,fraction_B_above_2Bbar
1.0,161,0,0.20676915619114583,0.16511746546141423,0.7985594587849114,0.01715087890625,0.01849365234375
2.0,144,1,0.212397234041366,0.1736462467184359,0.8175541809768433,0.0386962890625,0.0440673828125
3.0,125,1,0.21733986620125434,0.199624096142019,0.9184881707673882,0.048828125,0.05987548828125
4.0,103,0,0.22359491560694417,0.2248330380788118,1.0055373462697341,0.0606689453125,0.0721435546875
5.0,91,0,0.22414787231349667,0.21326521434988405,0.9514487563442406,0.064453125,0.0789794921875
6.0,85,0,0.22473257682446812,0.21289449242949143,0.9473236832761319,0.07025146484375,0.0823974609375
7.0,83,0,0.2256451126597516,0.24066265569574558,1.0665538147889726,0.07049560546875,0.085205078125
8.0,76,0,0.22544298470959537,0.21565460635914113,0.9565815793156609,0.07598876953125,0.08984375
9.0,77,0,0.22363111716319253,0.21154349853616122,0.9459484047642149,0.0775146484375,0.09161376953125
10.0,81,0,0.22097232484421034,0.20038689618111652,0.9068415980254227,0.07989501953125,0.09393310546875
11.0,76,0,0.22145125917411476,0.21749087134814726,0.9821162099473381,0.0821533203125,0.0966796875
12.0,81,0,0.21855684509450973,0.206213623334254,0.9435239753990857,0.08416748046875,0.0965576171875
13.0,81,0,0.2192332680321601,0.2267398270932896,1.0342400545706794,0.0850830078125,0.10174560546875
14.0,74,0,0.21949859516436593,0.24450636140118925,1.1139313270688447,0.08880615234375,0.1051025390625
15.0,78,0,0.21408777726557934,0.19050177774444738,0.8898302377539603,0.0882568359375,0.1055908203125
16.0,79,0,0.21070284977659248,0.198790669914883,0.9434645526895344,0.08160400390625,0.10125732421875
17.0,82,1,0.20856114318712565,0.20665689191404432,0.9908695778898143,0.0767822265625,0.09429931640625
18.0,82,0,0.20651038511054326,0.2003965088304382,0.9703943398447862,0.07513427734375,0.09149169921875
19.0,85,0,0.2036225119040016,0.1948331112923014,0.9568348286762911,0.07281494140625,0.08538818359375
20.0,90,0,0.20325803182151417,0.2214344587824074,1.0894253811178018,0.0728759765625,0.08636474609375
21.0,82,0,0.20217723572795032,0.211746564028477,1.0473313836054379,0.07470703125,0.087646484375
22.0,71,0,0.2045518444988208,0.24588985391386328,1.2020906216530391,0.08050537109375,0.0943603515625
23.0,73,1,0.2044616940251528,0.24757250355398758,1.2108503000250566,0.08489990234375,0.098876953125
24.0,75,0,0.20271629562475674,0.22134451775290176,1.0918930669620526,0.08453369140625,0.1011962890625
25.0,71,0,0.20037690957432389,0.22273562296593818,1.1115832829197367,0.08697509765625,0.10137939453125
26.0,70,0,0.19984898237374604,0.21345447765966286,1.0680788819853613,0.0865478515625,0.101318359375
27.0,64,0,0.2007061663377681,0.23254890416146032,1.1586535102768298,0.0860595703125,0.10186767578125
28.0,70,1,0.1968784619967832,0.2094910965108787,1.0640630487772786,0.07958984375,0.09686279296875
29.0,92,0,0.19331318365646305,0.1992938052847558,1.0309374741813828,0.07745361328125,0.09271240234375
30.0,85,0,0.19494020518059763,0.23054226422686433,1.1826306636606032,0.0775146484375,0.09259033203125
31.0,90,0,0.19339564554127736,0.19767140207217349,1.0221088562719658,0.07794189453125,0.09197998046875
32.0,82,0,0.19699122712119066,0.2427899610464828,1.232491236257523,0.08197021484375,0.09564208984375
33.0,79,3,0.19902653714236268,0.257845757579529,1.2955345617810414,0.0869140625,0.10028076171875
34.0,79,0,0.19929538304883615,0.23616744553070604,1.1850121258094304,0.09124755859375,0.10498046875
35.0,78,0,0.20050718548523064,0.24102070284833385,1.2020551895188187,0.09381103515625,0.10894775390625
36.0,74,0,0.20073459761198195,0.27342915318624256,1.3621426323068557,0.0931396484375,0.10821533203125
37.0,81,1,0.20190043315669243,0.24885053719663544,1.2325408782234044,0.09271240234375,0.10968017578125
