day,L,seed,chi,delta,g,M_tot,eta_M,omega_M,n_criminals,crimes_that_day,home_exits_that_day,inflow_that_day,balance_error,frac_exit_crime,frac_exit_home,mean_p_crime,mean_p_home,B_mean,B_std,H,f_hot_2,f_hot_3,B_q90_over_mean,B_q95_over_mean,B_q99_over_mean,Atilde_mean,deterrence_mean,deterrence_hot,M_cv,MB_corr,M_mass_on_hot10,crime_entropy,Gini_B,Gini_M,stat_window,T_max,M_bar,M_final_sum,code_hash,wall_s
90.5,64,0,0.0,0.0666666667,0.0,500.0,0.1,0.0666666667,18.733333333333334,6.95,1.2833333333333334,8.183333333333334,0.0,0.8436908461908462,0.1563091538091538,0.0038886983224988214,0.0006664444941520964,0.14202994790199533,0.2067792817922987,1.4528002296389382,0.11357828776041666,0.0567138671875,2.16668826034693,3.202848222681245,6.21842515101491,0.17536328120199532,1.0,1.0,0.07746367493600005,0.8256356113091132,0.11370079888709886,1.7260688658857246,0.5240436074064218,0.039021415739682624,60-120,120,0.1220703125,500.00000000011835,fb4ecf2f5c,2.383
90.5,64,1,0.0,0.0666666667,0.0,500.0,0.1,0.0666666667,17.633333333333333,6.183333333333334,1.35,7.533333333333333,0.0,0.8197144984644983,0.18028550153550155,0.0035460878931105563,0.0006664444941520965,0.1290589964300166,0.19530519004818434,1.5111002157303368,0.1130126953125,0.0568359375,2.158566757345207,3.242873256383004,6.608593625492257,0.16239232973001658,1.0,1.0,0.06490264085535422,0.8761320807057197,0.1129682568900848,0.926054588961454,0.521188956554902,0.02983462365693763,60-120,120,0.1220703125,500.00000000012085,fb4ecf2f5c,2.327
90.5,64,2,0.0,0.0666666667,0.0,500.0,0.1,0.0666666667,17.5,7.4,1.0833333333333333,8.45,0.0,0.8722185222185223,0.12778147778147778,0.004448656942221221,0.0006664444941520964,0.15099031506047245,0.24188038897190448,1.6022516800709024,0.13251546223958333,0.07180989583333333,2.4435890684962596,3.615826297792914,6.872778518148736,0.18432364836047244,1.0,1.0,0.08631005139058388,0.8796478275635492,0.11716910341248506,1.2322754910315166,0.5867093938981606,0.04245825585219964,60-120,120,0.1220703125,500.000000000119,fb4ecf2f5c,2.359
90.5,64,0,4.096,0.0666666667,0.5,500.0,0.1,0.0666666667,26.45,7.4,1.7833333333333334,9.166666666666666,0.0,0.7892024043494632,0.21079759565053685,0.0027171356615074077,0.0006664444941520964,0.15038436922759119,0.24709229853659617,1.6388937367438081,0.12307942708333333,0.06798502604166666,2.3267009708172077,3.629539453993892,7.487569698890454,0.11898461695834968,0.6071343641222984,0.5533495841232949,0.09026929504591129,0.8948547779589683,0.11891414128223914,0.5460227926081863,0.5811853332338035,0.04270931077846759,60-120,120,0.1220703125,500.00000000011875,fb4ecf2f5c,2.397
90.5,64,1,4.096,0.0666666667,0.5,500.0,0.1,0.0666666667,26.666666666666668,6.666666666666667,1.7,8.383333333333333,0.0,0.7924890414596297,0.20751095854037033,0.0024283969428061866,0.0006664444941520964,0.13930614890919457,0.21387526424721115,1.528857470858264,0.12251790364583333,0.06456705729166666,2.2975592234138107,3.470636124975246,6.721848943577542,0.113854771879345,0.6069433512328893,0.5627079610366245,0.07537180845492727,0.8928053799265935,0.11541798666106816,0.6068425588244111,0.5549464984963457,0.03563289220399192,60-120,120,0.1220703125,500.00000000012085,fb4ecf2f5c,2.391
90.5,64,2,4.096,0.0666666667,0.5,500.0,0.1,0.0666666667,27.183333333333334,6.383333333333334,1.9333333333333333,8.25,0.0,0.7535668266918267,0.2464331733081733,0.00258169826067414,0.0006664444941520964,0.12829261147812548,0.225514073950376,1.7458404698915346,0.12258707682291667,0.07393391927083333,2.3857717435756465,3.886280012061017,7.932432583497715,0.10653851954348152,0.607052894526708,0.556884911911209,0.08430872468995977,0.8643561841281859,0.11752407242580112,1.380617733269541,0.6043146483105509,0.0414478048991873,60-120,120,0.1220703125,500.0000000001214,fb4ecf2f5c,2.425
90.5,64,0,8.192,0.0666666667,1.0,500.0,0.1,0.0666666667,46.266666666666666,5.283333333333333,2.75,7.85,0.0,0.6610733710733709,0.33892662892662884,0.0011089975193558526,0.0006664444941520963,0.10544867503979474,0.16586659163134504,1.5690756208766543,0.10945231119791667,0.0569580078125,2.1189748876103787,3.2280949572459225,6.7283317919698264,0.06930156230371029,0.36868887185599064,0.3258779853950881,0.0693462254335071,0.8201848878866694,0.11270470002788831,1.1860329844416835,0.5294442510235974,0.03362801257184828,60-120,120,0.1220703125,500.0000000001251,fb4ecf2f5c,2.408
90.5,64,1,8.192,0.0666666667,1.0,500.0,0.1,0.0666666667,43.166666666666664,5.783333333333333,2.6333333333333333,8.0,0.0,0.6915812428312429,0.30841875716875716,0.001204008750794656,0.0006664444941520964,0.11647058190149213,0.17616381570375267,1.508239244408401,0.11420084635416666,0.05866292317708333,2.1772051614013423,3.3003147119669833,6.608900157181291,0.0730518894796142,0.36864861539243543,0.32310870875568226,0.06696279948402202,0.8525531554458148,0.11354362253549859,0.9378767508874124,0.5241869428534983,0.03183312072855263,60-120,120,0.1220703125,500.0000000001244,fb4ecf2f5c,2.433
90.5,64,2,8.192,0.0666666667,1.0,500.0,0.1,0.0666666667,42.93333333333333,4.366666666666666,2.933333333333333,7.483333333333333,0.0,0.579459336959337,0.420540663040663,0.0010140651819093127,0.0006664444941520964,0.09871791209897944,0.1449414091237438,1.4702821244494229,0.10595703125,0.050919596354166666,2.0683271424111838,3.0116816826658295,6.414117368273239,0.06739029480705692,0.3685371882130171,0.3303695351483423,0.06189808610854638,0.8137905655352842,0.1112857461977528,1.2217471769323103,0.5044074467389622,0.030160112244461378,60-120,120,0.1220703125,500.0000000001273,fb4ecf2f5c,2.43
90.5,64,0,12.288,0.0666666667,1.5,500.0,0.1,0.0666666667,63.86666666666667,3.716666666666667,4.35,8.216666666666667,0.0,0.4637415824915825,0.5362584175084174,0.0006060500076460858,0.0006664444941520963,0.08163779291748162,0.10561326001986902,1.2928282583662414,0.09355875651041666,0.03754475911458333,1.945219701192827,2.6568687801132955,5.079277127933297,0.05064500805213458,0.22347537472487713,0.2030330691049183,0.03870893752614256,0.8133354356512784,0.1066600123648451,0.0,0.4343578246106258,0.018388131420191415,60-120,120,0.1220703125,500.00000000013114,fb4ecf2f5c,2.443
