n_criminals,crimes_that_day,B_mean,B_std,H,f_hot_2,f_hot_3,B_p90_over_mean,B_p95_over_mean,B_p99_over_mean,Atilde_mean,Atilde_cv,deterrence_mean,deterrence_hot,M_mean,M_cv,MB_corr,M_mass_on_hot10,crime_entropy,Gini_B,Gini_M,day,L,seed,chi,g,M_tot,eta_M,omega_M,kappa,h,T_max,stat_window,phase,branch,M_final_sum,wall_s
19.083333333333332,0.11666666666666667,0.1638550237975318,0.2544335919865821,1.5471413565095742,0.1236572265625,0.06698404947916667,2.3364745133788576,3.551222719588663,6.9730666777337165,0.1971380550703565,1.283808796881525,1.0,1.0,0.12207031250001972,0.08914985567553978,0.8944152055595433,0.11884287582786726,1.1280315422148786,0.5641148634326333,0.042292826720287335,90.5,64,0,0.0,0.0,500.0,0.1,0.06666666666666667,0.0,0.0,120,60-120,A,cold,500.00000000009993,1.989854335784912
23.783333333333335,0.11666666666666667,0.1701462566562235,0.26748661040333577,1.5677124497822612,0.12302652994791667,0.066162109375,2.326283553534706,3.518676685082108,6.860769664992829,0.15450937209462975,1.0924033298613762,0.7411463023686682,0.6996318239804206,0.12207031250001946,0.10028477406914973,0.8681336546055867,0.11948219528050773,1.5987277381936886,0.5693297045152497,0.04990636185477202,90.5,64,0,2.4576,0.3,500.0,0.1,0.06666666666666667,0.0,0.0,120,60-120,A,cold,500.00000000009913,1.9483234882354736
36.43333333333333,0.08333333333333333,0.16854078984435342,0.22740626070222808,1.3523133770428115,0.11231689453125,0.05731201171875,2.163132908172754,3.2355754385590747,6.147061460912842,0.11223954744643813,0.7725451106557967,0.4972926592048695,0.44524762250249383,0.12207031250001936,0.07867843865377867,0.8867086811833886,0.11618208164580247,1.4206587843248293,0.49810059978411875,0.036430899928434506,90.5,64,0,5.7344,0.7,500.0,0.1,0.06666666666666667,0.0,0.0,120,60-120,A,cold,500.00000000009993,1.9723327159881592
57.266666666666666,0.15,0.1761352053227742,0.22167267615023276,1.2587173399337268,0.11431477864583334,0.04907633463541667,2.1468728970961117,2.981464705251639,5.25918810992631,0.0934800159641948,0.6217552112630738,0.3689696160685962,0.31938029319995365,0.12207031250001907,0.08109980002627555,0.8733682917699099,0.11484156773229683,1.6644184652278642,0.4871712894011962,0.03968168956387827,90.5,64,0,8.192,1.0,500.0,0.1,0.06666666666666667,0.0,0.0,120,60-120,A,cold,500.0000000000975,2.002716302871704
93.76666666666667,0.08333333333333333,0.1626385118987039,0.17990356831931067,1.1039520672139436,0.09195556640625,0.037613932291666666,1.9202369503462398,2.6601129600379236,4.686051512203474,0.06696146012189437,0.38521322920641515,0.22419911618060884,0.18699821669577157,0.12207031250001954,0.06944126618184562,0.851515255951432,0.11255655411675515,1.595800466185113,0.4166534232935606,0.03386741316862364,90.5,64,0,12.288,1.5,500.0,0.1,0.06666666666666667,0.0,0.0,120,60-120,A,cold,500.00000000009993,2.059342384338379
202.03333333333333,0.1,0.16233152948164858,0.13749488616285666,0.8463441798864825,0.04788411458333333,0.015372721354166667,1.569511573361175,1.9712357034231451,3.560627802919437,0.041000672922304866,0.08837859825162658,0.050098323567624135,0.04208818690161942,0.12207031250002007,0.04396483139854875,0.8279688239422515,0.10641237171326388,1.2348674050922936,0.2831902629506679,0.018084252510173465,90.5,64,0,24.576,3.0,500.0,0.1,0.06666666666666667,0.0,0.0,120,60-120,A,cold,500.0000000001018,2.155439853668213
68.32777777777778,0.28888888888888886,0.16477343535050887,0.25613463324134095,1.553562777773894,0.12495930989583333,0.06609564887152777,2.332956895985021,3.4883889594859405,6.804189052803347,0.19811788373132974,1.292630839311835,1.0,1.0,0.030517578125002703,0.29211106759789707,0.8987139447493506,0.1587302429298901,2.6715673113024576,0.5634615580119152,0.13335264425995594,275.5,128,0,0,0.0,500.0,0.1,0.06666666666666667,0.0,0.0,365,185-365,B,cold,500.00000000004445,11.241672277450562
69.33333333333333,0.38333333333333336,0.1673900046466052,0.25469303911309044,1.5208781347273386,0.12330118815104167,0.06426459418402777,2.304794384182543,3.4340097389011985,6.65683041986097,0.20070389621977952,1.26580837562024,1.0,1.0,0.030517578125002626,0.29473073190415994,0.888281389410916,0.1579928560568286,2.9730049627472126,0.555121843447576,0.13667008405596823,275.5,128,1,0,0.0,500.0,0.1,0.06666666666666667,0.0,0.0,365,185-365,B,cold,500.0000000000442,11.361671686172485
83.50555555555556,0.24444444444444444,0.1643337678875705,0.24414299298667375,1.4850261058910819,0.12038709852430556,0.06239149305555555,2.2621023211493716,3.375926597402761,6.57050661385105,0.1785543477670434,1.0798407419519174,0.9128038483981025,0.8674620400905125,0.03051757812500269,0.28174047675396224,0.8949926158851724,0.15627155970519777,2.4177068809685047,0.5447518494373098,0.1293800306372309,275.5,128,0,3,0.091552734375,500.0,0.1,0.06666666666666667,0.0,0.0,365,185-365,B,cold,500.000000000045,11.665093898773193
81.66666666666667,0.25555555555555554,0.16874294259908765,0.24415122068507047,1.4476652683585793,0.12091640896267361,0.060337999131944445,2.256303265857849,3.3051314781286596,6.334300684229684,0.1826224843272412,1.0568491842620633,0.9128011436361476,0.8686729141573639,0.030517578125002626,0.28057026648700095,0.8914358995117746,0.15472680823879073,2.5348748405556347,0.5386004726142392,0.13081287584138215,275.5,128,1,3,0.091552734375,500.0,0.1,0.06666666666666667,0.0,0.0,365,185-365,B,cold,500.00000000004235,11.371479511260986
